SNR_dB,BER,SER,BitErrors,SymbolErrors,Bits,Symbols,BER_Lower95,BER_Upper95,SER_Lower95,SER_Upper95,SpreadingFactor,SamplesPerChip,DemodulationMode,EsN0_dB,EbN0_dB
-8,0.00110714285714286,0.002,31,8,28000,4000,0.000780118626658292,0.00157103947847215,0.00101378626859103,0.00394181924795165,7,1,polyphase,13.0720996964787,4.62111929633611
-6,0,0,0,0,28000,4000,0,0.000137176138007456,0,0.000959443289701483,7,1,polyphase,15.0720996964787,6.62111929633611
-4,0,0,0,0,28000,4000,0,0.000137176138007456,0,0.000959443289701483,7,1,polyphase,17.0720996964787,8.62111929633611
-20,0.458535714285714,0.9105,12839,3642,28000,4000,0.452705459966902,0.464377344425686,0.901255164810368,0.918957132248787,7,2,single-phase,4.0823996531185,-4.36858074702407
-18,0.42475,0.83775,11893,3351,28000,4000,0.418970903483362,0.430549741525408,0.826001532119657,0.84885036393815,7,2,single-phase,6.0823996531185,-2.36858074702407
-16,0.358071428571429,0.704,10026,2816,28000,4000,0.352475635019604,0.363706160549856,0.689663165432797,0.717945381705005,7,2,single-phase,8.0823996531185,-0.368580747024073
-14,0.233714285714286,0.467,6544,1868,28000,4000,0.228794154400477,0.238707473119879,0.451577956857807,0.482485366399314,7,2,single-phase,10.0823996531185,1.63141925297593
-12,0.106821428571429,0.209,2991,836,28000,4000,0.103257219001027,0.110493507577781,0.19668189047816,0.221876505516446,7,2,single-phase,12.0823996531185,3.63141925297593
-10,0.0186071428571429,0.0355,521,142,28000,4000,0.0170890942598514,0.0202572626804488,0.0301967734748052,0.0416945493413275,7,2,single-phase,14.0823996531185,5.63141925297593
-8,0.000607142857142857,0.00175,17,7,28000,4000,0.000379121332325947,0.0009721739489425,0.000847965734433743,0.00360811950375379,7,2,single-phase,16.0823996531185,7.63141925297593
-6,0,0,0,0,28000,4000,0,0.000137176138007456,0,0.000959443289701483,7,2,single-phase,18.0823996531185,9.63141925297593
-4,0,0,0,0,28000,4000,0,0.000137176138007456,0,0.000959443289701483,7,2,single-phase,20.0823996531185,11.6314192529759
-20,0.460285714285714,0.91625,12888,3665,28000,4000,0.454453550758671,0.466128773517433,0.907260912565993,0.924440350895331,7,2,polyphase,4.0823996531185,-4.36858074702407
-18,0.420321428571429,0.83725,11769,3349,28000,4000,0.414551072615979,0.426113644524299,0.825487862268008,0.848364993233088,7,2,polyphase,6.0823996531185,-2.36858074702407
